EF,ACC,page,author,year,experiment,family,genus,species,plant_type,defence_type_specific,trait_category,experiment_type,study_type,plant_lifestage_2,Nfixing,density,PD2,SR,X_control,SE_control,SD_control,N_control,X_mixture,SE_mixture,SD_mixture,N_mixture,data_source,notes,yi,vi
ef601,38,23,"Williams, L",2020,IDENT Montreal,Betulaceae,Betula,Betula alleghaniensis,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.633,4,22.283,N/A,2.524,4,20.371,N/A,3.955,4,extra data request,4N8,-0.500610983,0.51566321
ef602,38,24,"Williams, L",2020,IDENT Montreal,Betulaceae,Betula,Betula papyrifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.685,12,18.761,N/A,2.783,4,16.525,N/A,1.001,4,extra data request,12N,-0.928727206,0.553908389
ef603,38,25,"Williams, L",2020,IDENT Montreal,Betulaceae,Betula,Betula papyrifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.071,2,18.761,N/A,2.783,4,18.176,N/A,0.707,4,extra data request,2N4,-0.250270888,0.50391472
ef604,38,26,"Williams, L",2020,IDENT Montreal,Betulaceae,Betula,Betula papyrifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.5,2,18.761,N/A,2.783,4,19.327,N/A,1.837,4,extra data request,2NR5,0.208506156,0.502717176
ef605,38,27,"Williams, L",2020,IDENT Montreal,Betulaceae,Betula,Betula papyrifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.173,4,18.761,N/A,2.783,4,15.96,N/A,1.387,4,extra data request,4N2,-1.106556731,0.576529237
ef606,38,28,"Williams, L",2020,IDENT Montreal,Betulaceae,Betula,Betula papyrifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.75,4,18.761,N/A,2.783,4,15.526,N/A,1.239,4,extra data request,4N4,-1.304498396,0.606357254
ef607,38,29,"Williams, L",2020,IDENT Montreal,Betulaceae,Betula,Betula papyrifera,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.633,4,18.761,N/A,2.783,4,16.934,N/A,3.014,4,extra data request,4NR7,-0.547083833,0.518706295
ef608,38,30,"Williams, L",2020,IDENT Montreal,Pinaceae,Larix,Larix laricina,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.466,12,12.148,N/A,0.913,4,11.598,N/A,1.528,4,extra data request,12N,-0.379571918,0.509004678
ef609,38,31,"Williams, L",2020,IDENT Montreal,Pinaceae,Larix,Larix laricina,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.045,2,12.148,N/A,0.913,4,11.663,N/A,1.039,4,extra data request,2N2,-0.430746943,0.511596433
ef610,38,32,"Williams, L",2020,IDENT Montreal,Pinaceae,Larix,Larix laricina,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.5,2,12.148,N/A,0.913,4,12.761,N/A,0.6,4,extra data request,2N7,0.689262857,0.529692705
ef611,38,33,"Williams, L",2020,IDENT Montreal,Pinaceae,Larix,Larix laricina,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.045,2,12.148,N/A,0.913,4,11.193,N/A,1.034,4,extra data request,2NR4,-0.850478865,0.545207144
ef612,38,34,"Williams, L",2020,IDENT Montreal,Pinaceae,Larix,Larix laricina,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.3,4,12.148,N/A,0.913,4,12.124,N/A,1.832,4,extra data request,4N4,-0.014403337,0.500012966
ef613,38,35,"Williams, L",2020,IDENT Montreal,Pinaceae,Larix,Larix laricina,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.302,4,12.148,N/A,0.913,4,12.647,N/A,0.507,4,extra data request,4N6,0.586965238,0.521533012
ef614,38,36,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea,Picea glauca,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.455,12,6.286,N/A,0.315,4,7.962,N/A,0.941,4,extra data request,12N,2.074764883,0.769040582
ef615,38,37,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea,Picea glauca,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.032,2,6.286,N/A,0.315,4,6.96,N/A,0.346,4,extra data request,2N5,1.769475339,0.695690186
ef616,38,38,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea,Picea glauca,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.045,2,6.286,N/A,0.315,4,7.971,N/A,0.65,4,extra data request,2NR4,2.865677064,1.013256565
ef617,38,39,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea,Picea glauca,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.047,4,6.286,N/A,0.315,4,6.165,N/A,0.451,4,extra data request,4N1,-0.270196935,0.504562899
ef618,38,40,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea,Picea glauca,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.3,4,6.286,N/A,0.315,4,6.824,N/A,0.177,4,extra data request,4N4,1.82909116,0.709098404
ef619,38,41,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea,Picea glauca,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.281,4,6.286,N/A,0.315,4,7.045,N/A,0.629,4,extra data request,4N5,1.32539746,0.609792402
ef620,38,42,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea,Picea glauca,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.529,4,6.286,N/A,0.315,4,7.342,N/A,1.089,4,extra data request,4N8,1.144289335,0.58183738
ef621,38,43,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea,Picea glauca,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.036,4,6.286,N/A,0.315,4,6.66,N/A,0.591,4,extra data request,4NR2,0.686018204,0.529413811
ef622,38,44,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea,Picea glauca,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.516,4,6.286,N/A,0.315,4,7.085,N/A,0.843,4,extra data request,4NR7,1.090652043,0.574345117
ef623,38,45,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus resinosa,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.458,12,5.544,N/A,0.232,4,7.914,N/A,0.731,4,extra data request,12N,3.796116569,1.400656313
ef624,38,46,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus resinosa,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.032,2,5.544,N/A,0.232,4,5.457,N/A,0.458,4,extra data request,2N1,-0.20816351,0.502708253
ef625,38,47,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus resinosa,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.022,2,5.544,N/A,0.232,4,5.361,N/A,0.197,4,extra data request,2NR2B,-0.738612055,0.534096735
ef626,38,48,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus resinosa,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.06,4,5.544,N/A,0.232,4,5.254,N/A,0.242,4,extra data request,4N1,-1.062640081,0.570575246
ef627,38,49,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus resinosa,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.277,4,5.544,N/A,0.232,4,6.277,N/A,0.522,4,extra data request,4N3,1.57629784,0.65529468
ef628,38,50,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus resinosa,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.044,4,5.544,N/A,0.232,4,5.441,N/A,0.35,4,extra data request,4NR2,-0.301321192,0.505674654
ef629,38,51,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea ,Picea rubens,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.455,12,6.077,N/A,0.226,4,7.752,N/A,1.211,4,extra data request,12N,1.670262567,0.674361065
ef630,38,52,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea ,Picea rubens,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.032,2,6.077,N/A,0.226,4,6.479,N/A,6.479,4,extra data request,2N1,0.076173198,0.500362647
ef631,38,53,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea ,Picea rubens,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.047,4,6.077,N/A,0.226,4,6.077,N/A,0.267,4,extra data request,4N1,0,0.5
ef632,38,54,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea ,Picea rubens,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.282,4,6.077,N/A,0.226,4,7.737,N/A,0.511,4,extra data request,4N3,3.649571628,1.332460817
ef633,38,55,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea ,Picea rubens,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.281,4,6.077,N/A,0.226,4,7.181,N/A,0.346,4,extra data request,4N5,3.281583638,1.173049448
ef634,38,56,"Williams, L",2020,IDENT Montreal,Pinaceae,Picea ,Picea rubens,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.036,4,6.077,N/A,0.226,4,6.498,N/A,0.507,4,extra data request,4NR2,0.931680045,0.554251732
ef635,38,57,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.458,12,9.13,N/A,0.307,4,10.631,N/A,0.815,4,extra data request,12N,2.117183543,0.780154135
ef636,38,58,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.045,2,9.13,N/A,0.307,4,10.582,N/A,0.758,4,extra data request,2N2,2.181033969,0.797306823
ef637,38,59,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.032,2,9.13,N/A,0.307,4,8.903,N/A,0.386,4,extra data request,2N5,-0.565395129,0.519979478
ef638,38,60,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.022,2,9.13,N/A,0.307,4,8.511,N/A,0.371,4,extra data request,2NR2B,-1.579056992,0.655838812
ef639,38,61,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.5,2,9.13,N/A,0.307,4,10.697,N/A,0.757,4,extra data request,2NR5,2.356444694,0.847051975
ef640,38,62,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.277,4,9.13,N/A,0.307,4,10.487,N/A,1.757,4,extra data request,4N3,0.934600132,0.554592338
ef641,38,63,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.302,4,9.13,N/A,0.307,4,11.986,N/A,0.812,4,extra data request,4N6,4.041456807,1.52083582
ef642,38,64,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.529,4,9.13,N/A,0.307,4,11.425,N/A,1.575,4,extra data request,4N7,1.756923554,0.692923774
ef643,38,65,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.044,4,9.13,N/A,0.307,4,8.796,N/A,0.392,4,extra data request,4NR2,-0.824033718,0.542439473
ef644,38,66,"Williams, L",2020,IDENT Montreal,Pinaceae,Pinus,Pinus strobus,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.516,4,9.13,N/A,0.307,4,11.262,N/A,1.342,4,extra data request,4NR7,1.902419783,0.726200064
ef645,38,67,"Williams, L",2020,IDENT Montreal,Fagaceae,Quercus,Quercus rubra,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.696,12,18.309,N/A,1.572,4,18.661,N/A,1.775,4,extra data request,12N,0.182369743,0.50207867
ef646,38,68,"Williams, L",2020,IDENT Montreal,Fagaceae,Quercus,Quercus rubra,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.071,2,18.309,N/A,1.572,4,17.896,N/A,1.864,4,extra data request,2N3,-0.208064244,0.502705671
ef647,38,69,"Williams, L",2020,IDENT Montreal,Fagaceae,Quercus,Quercus rubra,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.071,2,18.309,N/A,1.572,4,22.163,N/A,1.243,4,extra data request,2N4,2.362383641,0.848803529
ef648,38,70,"Williams, L",2020,IDENT Montreal,Fagaceae,Quercus,Quercus rubra,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.204,4,18.309,N/A,1.572,4,18.291,N/A,1.668,4,extra data request,4N2,-0.009647174,0.500005817
ef649,38,71,"Williams, L",2020,IDENT Montreal,Fagaceae,Quercus,Quercus rubra,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.75,4,18.309,N/A,1.572,4,16.872,N/A,0.626,4,extra data request,4N6,-1.043253162,0.568023573
ef650,38,72,"Williams, L",2020,IDENT Montreal,Fagaceae,Quercus,Quercus rubra,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.633,4,18.309,N/A,1.572,4,17.543,N/A,2.426,4,extra data request,4N7,-0.325507178,0.506622183
ef651,38,73,"Williams, L",2020,IDENT Montreal,Cupressaceae,Thuja,Thuja occidentalis,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.475,12,6.201,N/A,0.482,4,7.513,N/A,0.423,4,extra data request,12N,2.513202378,0.894761637
ef652,38,74,"Williams, L",2020,IDENT Montreal,Cupressaceae,Thuja,Thuja occidentalis,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.5,2,6.201,N/A,0.482,4,6.851,N/A,0.669,4,extra data request,2N8,0.9683755,0.558609444
ef653,38,75,"Williams, L",2020,IDENT Montreal,Cupressaceae,Thuja,Thuja occidentalis,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.5,2,6.201,N/A,0.482,4,7.589,N/A,1.113,4,extra data request,2NR7B,1.405780672,0.623513706
ef654,38,76,"Williams, L",2020,IDENT Montreal,Cupressaceae,Thuja,Thuja occidentalis,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.308,4,6.201,N/A,0.482,4,7.879,N/A,0.104,4,extra data request,4N6,4.180342993,1.592204221
ef655,38,77,"Williams, L",2020,IDENT Montreal,Cupressaceae,Thuja,Thuja occidentalis,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.529,4,6.201,N/A,0.482,4,7.485,N/A,0.451,4,extra data request,4N7,2.389499538,0.856856753
ef656,38,78,"Williams, L",2020,IDENT Montreal,Cupressaceae,Thuja,Thuja occidentalis,woody,SLA,SLA,field,experimental,juvenile,No N-fixing neighbours,4,0.529,4,6.201,N/A,0.482,4,6.888,N/A,0.97,4,extra data request,4N8,0.779138086,0.53794101
ef657,39,1,"Benavides, R.",2019,FunDivEu North Karelia,Betulaceae,Betula ,Betula pendula,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.5,2,14.877,N/A,1.409,4,14.078,N/A,1.37,8,extra data request,"Functional diveristy measures unclear as multiple different species mixture values combined, highest possible measure used",-0.533554369,0.386861678
ef658,39,2,"Benavides, R.",2019,FunDivEu North Karelia,Betulaceae,Betula ,Betula pendula,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.667,3,14.877,N/A,1.409,4,14.007,N/A,1.318,4,extra data request,,-0.55393092,0.519177466
ef659,39,3,"Benavides, R.",2019,FunDivEu North Karelia,Pinaceae,Picea,Picea abies,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.266,2,2.99,N/A,0.811,4,2.957,N/A,0.42,8,extra data request,,-0.053762722,0.375120435
ef660,39,4,"Benavides, R.",2019,FunDivEu North Karelia,Pinaceae,Picea,Picea abies,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.355,3,2.99,N/A,0.811,4,3.14,N/A,0.526,4,extra data request,,0.190622301,0.502271054
ef661,39,5,"Benavides, R.",2019,FunDivEu North Karelia,Pinaceae,Pinus,Pinus sylvestris,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.266,2,3.604,N/A,0.368,4,3.619,N/A,0.346,8,extra data request,,0.039238599,0.375064153
ef662,39,6,"Benavides, R.",2019,FunDivEu North Karelia,Pinaceae,Pinus,Pinus sylvestris,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.355,3,3.604,N/A,0.368,4,3.625,N/A,0.349,4,extra data request,,0.050864042,0.500161697
ef663,39,7,"Benavides, R.",2019,FunDivEu North Karelia,Betulaceae,Betula ,Betula pendula,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.5,2,379.507,N/A,20.483,4,406.314,N/A,24.974,8,extra data request,,1.043003454,0.420327342
ef664,39,8,"Benavides, R.",2019,FunDivEu North Karelia,Betulaceae,Betula ,Betula pendula,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.667,3,379.507,N/A,20.483,4,401.958,N/A,20.453,4,extra data request,,0.952781539,0.556737041
ef665,39,9,"Benavides, R.",2019,FunDivEu North Karelia,Pinaceae,Picea,Picea abies,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.266,2,444.362,N/A,43.867,4,441.632,N/A,38.066,8,extra data request,,-0.063143191,0.375166128
ef666,39,10,"Benavides, R.",2019,FunDivEu North Karelia,Pinaceae,Picea,Picea abies,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.355,3,444.362,N/A,43.867,4,435.819,N/A,34.081,4,extra data request,,-0.188917721,0.502230619
ef667,39,11,"Benavides, R.",2019,FunDivEu North Karelia,Pinaceae,Pinus,Pinus sylvestris,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.266,2,417.01,N/A,30.808,4,424.815,N/A,32.821,8,extra data request,,0.223455215,0.37708051
ef668,39,12,"Benavides, R.",2019,FunDivEu North Karelia,Pinaceae,Pinus,Pinus sylvestris,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.355,3,417.01,N/A,30.808,4,419.349,N/A,25.655,4,extra data request,,0.071668499,0.500321023
ef669,39,13,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Abies,Abies alba,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.322,2,4.488,N/A,0.988,2,4.802,N/A,1.312,5,extra data request,,0.21053659,0.703166118
ef670,39,14,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Abies,Abies alba,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.489,3,4.488,N/A,0.988,2,4.375,N/A,1.259,5,extra data request,,-0.078537831,0.700440585
ef671,39,15,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Abies,Abies alba,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.527,4,4.488,N/A,0.988,2,5.665,N/A,1.599,3,extra data request,,0.597773711,0.869066674
ef672,39,16,"Benavides, R.",2019,FunDivEu Carpathian mountains,Sapindaceae,Acer,Acer pseudoplatanus,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.344,2,11.746,N/A,2.734,2,11.501,N/A,2.636,3,extra data request,,-0.06642109,0.833774509
ef673,39,17,"Benavides, R.",2019,FunDivEu Carpathian mountains,Sapindaceae,Acer,Acer pseudoplatanus,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.511,3,11.746,N/A,2.734,2,12.677,N/A,3.46,4,extra data request,,0.225541848,0.754239094
ef674,39,18,"Benavides, R.",2019,FunDivEu Carpathian mountains,Sapindaceae,Acer,Acer pseudoplatanus,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.633,4,11.746,N/A,2.734,2,14.5,N/A,3.457,3,extra data request,,0.616200355,0.871303621
ef675,39,19,"Benavides, R.",2019,FunDivEu Carpathian mountains,Fagaceae,Fagus,Fagus sylvatica,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.433,2,15.032,N/A,5.377,2,18.669,N/A,6.758,7,extra data request,,0.491054186,0.656253488
ef676,39,20,"Benavides, R.",2019,FunDivEu Carpathian mountains,Fagaceae,Fagus,Fagus sylvatica,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.671,3,15.032,N/A,5.377,2,20.553,N/A,7.876,7,extra data request,,0.647817116,0.666171977
ef677,39,21,"Benavides, R.",2019,FunDivEu Carpathian mountains,Fagaceae,Fagus,Fagus sylvatica,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.633,4,15.032,N/A,5.377,2,21.052,N/A,8.867,3,extra data request,,0.552985597,0.86391264
ef678,39,22,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Picea,Picea abies,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.435,2,4.108,N/A,1.726,2,3.981,N/A,1.41,5,extra data request,,-0.072213021,0.70037248
ef679,39,23,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Picea,Picea abies,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.574,3,4.108,N/A,1.726,2,4.109,N/A,1.322,5,extra data request,,0.000595398,0.700000025
ef680,39,24,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Picea,Picea abies,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.527,4,4.108,N/A,1.726,2,5.493,N/A,2.092,3,extra data request,,0.506784835,0.85901642
ef681,39,25,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Abies,Abies alba,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.322,2,511.099,N/A,45.462,2,500.196,N/A,48.571,5,extra data request,,-0.191110621,0.702608805
ef682,39,26,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Abies,Abies alba,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.489,3,511.099,N/A,45.462,2,490.135,N/A,39.856,5,extra data request,,-0.429485756,0.713175573
ef683,39,27,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Abies,Abies alba,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.527,4,511.099,N/A,45.462,2,466.424,N/A,51.342,3,extra data request,,-0.653600101,0.876052643
ef684,39,28,"Benavides, R.",2019,FunDivEu Carpathian mountains,Sapindaceae,Acer,Acer pseudoplatanus,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.344,2,374.677,N/A,54.038,2,382.732,N/A,41.336,3,extra data request,,0.126814442,0.834941524
ef685,39,29,"Benavides, R.",2019,FunDivEu Carpathian mountains,Sapindaceae,Acer,Acer pseudoplatanus,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.511,3,374.677,N/A,54.038,2,368.096,N/A,57.531,4,extra data request,,-0.092644135,0.750715245
ef686,39,30,"Benavides, R.",2019,FunDivEu Carpathian mountains,Sapindaceae,Acer,Acer pseudoplatanus,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.633,4,374.677,N/A,54.038,2,341.112,N/A,43.37,3,extra data request,,-0.514627191,0.859817448
ef687,39,31,"Benavides, R.",2019,FunDivEu Carpathian mountains,Fagaceae,Fagus,Fagus sylvatica,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.433,2,468.05,N/A,42.698,2,455.538,N/A,42.833,7,extra data request,,-0.259570752,0.646600308
ef688,39,32,"Benavides, R.",2019,FunDivEu Carpathian mountains,Fagaceae,Fagus,Fagus sylvatica,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.671,3,468.05,N/A,42.698,2,446.181,N/A,38.176,7,extra data request,,-0.499922579,0.656741731
ef689,39,33,"Benavides, R.",2019,FunDivEu Carpathian mountains,Fagaceae,Fagus,Fagus sylvatica,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.633,4,468.05,N/A,42.698,2,444.218,N/A,46.387,3,extra data request,,-0.381601188,0.84789528
ef690,39,34,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Picea,Picea abies,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.435,2,463.788,N/A,56.846,2,476.828,N/A,57.344,5,extra data request,,0.191517361,0.702619921
ef691,39,35,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Picea,Picea abies,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.574,3,463.788,N/A,56.846,2,470.414,N/A,72.336,5,extra data request,,0.080138477,0.700458727
ef692,39,36,"Benavides, R.",2019,FunDivEu Carpathian mountains,Pinaceae,Picea,Picea abies,woody,LDMC,LDMC,observational,observational,mature,No N-fixing neighbours,NA,0.527,4,463.788,N/A,56.846,2,432.888,N/A,79.721,3,extra data request,,-0.306720171,0.84274106
ef693,39,37,"Benavides, R.",2019,FunDivEu Alto Tajo,Pinaceae,Pinus,Pinus nigra,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.335,2,2.937,N/A,0.412,3,2.86,N/A,0.456,9,extra data request,,-0.158757715,0.445494612
ef694,39,38,"Benavides, R.",2019,FunDivEu Alto Tajo,Pinaceae,Pinus,Pinus nigra,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.502,3,2.937,N/A,0.412,3,2.912,N/A,0.543,6,extra data request,,-0.043622901,0.50010572
ef695,39,39,"Benavides, R.",2019,FunDivEu Alto Tajo,Pinaceae,Pinus,Pinus nigra,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.503,4,2.937,N/A,0.412,3,2.65,N/A,0.388,3,extra data request,,-0.572224729,0.693953428
ef696,39,40,"Benavides, R.",2019,FunDivEu Alto Tajo,Pinaceae,Pinus,Pinus sylvestris,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.253,2,2.989,N/A,0.415,3,2.863,N/A,0.511,6,extra data request,,-0.230506165,0.502951838
ef697,39,41,"Benavides, R.",2019,FunDivEu Alto Tajo,Pinaceae,Pinus,Pinus sylvestris,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.338,3,2.989,N/A,0.415,3,2.945,N/A,0.31,3,extra data request,,-0.0958467,0.667432216
ef698,39,42,"Benavides, R.",2019,FunDivEu Alto Tajo,Pinaceae,Pinus,Pinus sylvestris,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.503,4,2.989,N/A,0.415,3,2.752,N/A,0.316,3,extra data request,,-0.512689352,0.688570864
ef699,39,43,"Benavides, R.",2019,FunDivEu Alto Tajo,Fagaceae,Quercus,Quercus faginea,woody,SLA,SLA,observational,observational,mature,No N-fixing neighbours,NA,0.5,2,12.263,N/A,2.728,3,12.222,N/A,2.311,9,extra data request,,-0.015762239,0.444454796
