"","model","runtime","error","warn","logLik","est","se","pvalue","tau2","scenario","replicate","param_id","measure","dat_file"
"66","glmmTMB_RE",0.449999999999996,NA,NA,-1.19246629860853,0.341208848639434,0.0529898686965613,1.20157332839845e-10,0.0152625362752772,"SMD_tau2=0.04_moderate",33,33,"SMD","results/raw/SMD/data/simdat_00033.rds"
"67","rma.uni",0.00999999999999801,NA,NA,-5.01808309480406,0.337456729414614,0.0650718969843212,2.14967427922969e-07,0.0436949798398982,"SMD_tau2=0.04_moderate",34,34,"SMD","results/raw/SMD/data/simdat_00034.rds"
"68","glmmTMB_RE",0.630000000000003,NA,NA,-5.01808309480407,0.337456729348638,0.0650770125367474,2.15438204255191e-07,0.0436949776153663,"SMD_tau2=0.04_moderate",34,34,"SMD","results/raw/SMD/data/simdat_00034.rds"
"69","rma.uni",0.019999999999996,NA,NA,-1.92723649391316,0.150754486329685,0.0550378246214775,0.00616063345340841,0.020170411270872,"SMD_tau2=0.04_moderate",35,35,"SMD","results/raw/SMD/data/simdat_00035.rds"
"70","glmmTMB_RE",0.950000000000003,NA,NA,-1.92723649391292,0.150754486114246,0.0550387153188363,0.00616146422870601,0.0201703976446585,"SMD_tau2=0.04_moderate",35,35,"SMD","results/raw/SMD/data/simdat_00035.rds"
"71","rma.uni",0.0200000000000031,NA,NA,-0.71875530991527,0.287340789257158,0.0514243172353878,2.30170580872224e-08,0.0122066077771252,"SMD_tau2=0.04_moderate",36,36,"SMD","results/raw/SMD/data/simdat_00036.rds"
"72","glmmTMB_RE",0.68,NA,NA,-0.718755309896281,0.287340781929344,0.0514380093261926,2.32149742098017e-08,0.012206499991554,"SMD_tau2=0.04_moderate",36,36,"SMD","results/raw/SMD/data/simdat_00036.rds"
"73","rma.uni",0,NA,NA,-7.05878371880078,0.156270193049452,0.072184600818341,0.0303977310759468,0.0635781976883287,"SMD_tau2=0.04_moderate",37,37,"SMD","results/raw/SMD/data/simdat_00037.rds"
"74","glmmTMB_RE",0.399999999999999,NA,NA,-7.05878371880074,0.156270192888655,0.0721870488778925,0.0304033556206733,0.0635781884700284,"SMD_tau2=0.04_moderate",37,37,"SMD","results/raw/SMD/data/simdat_00037.rds"
"75","rma.uni",0.0200000000000031,NA,NA,-1.60625717045409,0.296038977705499,0.0542716091049526,4.90371256221363e-08,0.0181739973348776,"SMD_tau2=0.04_moderate",38,38,"SMD","results/raw/SMD/data/simdat_00038.rds"
"76","glmmTMB_RE",1.27999999999999,NA,NA,-1.60625717044848,0.296038974866542,0.0542781931083263,4.92200601000372e-08,0.0181739329715264,"SMD_tau2=0.04_moderate",38,38,"SMD","results/raw/SMD/data/simdat_00038.rds"
"77","rma.uni",0.0200000000000031,NA,NA,-7.86850682206289,0.254785873429094,0.0755260145319954,0.000742231035959512,0.0731974799275432,"SMD_tau2=0.04_moderate",39,39,"SMD","results/raw/SMD/data/simdat_00039.rds"
"78","glmmTMB_RE",0.589999999999996,NA,NA,-7.86850682206234,0.254785872681065,0.0755293785968097,0.000742636248958275,0.0731974410264922,"SMD_tau2=0.04_moderate",39,39,"SMD","results/raw/SMD/data/simdat_00039.rds"
"79","rma.uni",0.0200000000000031,NA,NA,-3.99815837546839,0.211453190416425,0.0615412909255231,0.000590466059599766,0.035149273185432,"SMD_tau2=0.04_moderate",40,40,"SMD","results/raw/SMD/data/simdat_00040.rds"
"80","glmmTMB_RE",0.630000000000003,NA,NA,-3.998158375459,0.211453189179787,0.0615419076535603,0.000590541151562266,0.0351491659776224,"SMD_tau2=0.04_moderate",40,40,"SMD","results/raw/SMD/data/simdat_00040.rds"
"81","rma.uni",0.00999999999999801,NA,NA,-4.8444226310686,0.239356107668514,0.0643013161264642,0.000197327270919393,0.041997280453614,"SMD_tau2=0.04_moderate",41,41,"SMD","results/raw/SMD/data/simdat_00041.rds"
"82","glmmTMB_RE",0.469999999999999,NA,NA,-4.8444226310686,0.239356107599792,0.0643031784139682,0.000197411565392616,0.0419972766614164,"SMD_tau2=0.04_moderate",41,41,"SMD","results/raw/SMD/data/simdat_00041.rds"
"83","rma.uni",0.0200000000000031,NA,NA,-7.0301019910512,0.253667661231941,0.0716999599710228,0.00040331483287324,0.061981477105739,"SMD_tau2=0.04_moderate",42,42,"SMD","results/raw/SMD/data/simdat_00042.rds"
"84","glmmTMB_RE",0.770000000000003,NA,NA,-7.03010199103442,0.253667655811498,0.0717059990848171,0.000403770303479002,0.0619812802309617,"SMD_tau2=0.04_moderate",42,42,"SMD","results/raw/SMD/data/simdat_00042.rds"
"85","rma.uni",0.00999999999999801,NA,NA,-6.93080082445298,0.265942513436663,0.0716534156970616,0.000206024884713502,0.0618206791522772,"SMD_tau2=0.04_moderate",43,43,"SMD","results/raw/SMD/data/simdat_00043.rds"
"86","glmmTMB_RE",0.719999999999999,NA,NA,-6.93080082445287,0.265942513317156,0.0716538453361179,0.000206043003646592,0.0618206630502123,"SMD_tau2=0.04_moderate",43,43,"SMD","results/raw/SMD/data/simdat_00043.rds"
"87","rma.uni",0.019999999999996,NA,NA,-6.06654243942114,0.333848597471186,0.0685229766319233,1.10436177106085e-06,0.0528803338496978,"SMD_tau2=0.04_moderate",44,44,"SMD","results/raw/SMD/data/simdat_00044.rds"
"88","glmmTMB_RE",0.550000000000004,NA,NA,-6.0665424394211,0.333848597258049,0.0685314403474565,1.10773099211623e-06,0.052880327770755,"SMD_tau2=0.04_moderate",44,44,"SMD","results/raw/SMD/data/simdat_00044.rds"
"89","rma.uni",0.00999999999999091,NA,NA,-2.44028547701682,0.200358189674628,0.0567519154799638,0.000414897917993674,0.023897412177731,"SMD_tau2=0.04_moderate",45,45,"SMD","results/raw/SMD/data/simdat_00045.rds"
"90","glmmTMB_RE",0.490000000000009,NA,NA,-2.44028547701607,0.200358189249923,0.0567529540307208,0.000414999264611062,0.0238973863711265,"SMD_tau2=0.04_moderate",45,45,"SMD","results/raw/SMD/data/simdat_00045.rds"
"91","rma.uni",0,NA,NA,-1.00551942020894,0.35810602737012,0.0524649947467433,8.75474325079556e-12,0.0141278261354629,"SMD_tau2=0.04_moderate",46,46,"SMD","results/raw/SMD/data/simdat_00046.rds"
"92","glmmTMB_RE",0.700000000000003,NA,NA,-1.00551942020886,0.358106026962932,0.0524771380997938,8.85159527953461e-12,0.0141278196349262,"SMD_tau2=0.04_moderate",46,46,"SMD","results/raw/SMD/data/simdat_00046.rds"
"93","rma.uni",0.019999999999996,NA,NA,-0.828003223707617,0.368639840015291,0.0520555666293181,1.42437466719316e-12,0.0132378769482236,"SMD_tau2=0.04_moderate",47,47,"SMD","results/raw/SMD/data/simdat_00047.rds"
"94","glmmTMB_RE",0.390000000000001,NA,NA,-0.828003223683801,0.368639831721413,0.0520693731065117,1.44380982405526e-12,0.013237754787235,"SMD_tau2=0.04_moderate",47,47,"SMD","results/raw/SMD/data/simdat_00047.rds"
"95","rma.uni",0.019999999999996,NA,NA,-0.277213783481189,0.398596635509685,0.0502585699036399,2.17530470999725e-15,0.00945840040208509,"SMD_tau2=0.04_moderate",48,48,"SMD","results/raw/SMD/data/simdat_00048.rds"
"96","glmmTMB_RE",0.560000000000002,NA,NA,-0.277213783469648,0.398596628964362,0.0502767523018481,2.22612870665314e-15,0.00945831974293681,"SMD_tau2=0.04_moderate",48,48,"SMD","results/raw/SMD/data/simdat_00048.rds"
"97","rma.uni",0,NA,NA,-2.01301519773497,0.309609633273388,0.0554063443170429,2.29723960552567e-08,0.0206086245824909,"SMD_tau2=0.04_moderate",49,49,"SMD","results/raw/SMD/data/simdat_00049.rds"
"98","glmmTMB_RE",0.610000000000014,NA,NA,-2.01301519773498,0.309609633178595,0.0554160546256963,2.31022461542826e-08,0.0206086227503712,"SMD_tau2=0.04_moderate",49,49,"SMD","results/raw/SMD/data/simdat_00049.rds"
"99","rma.uni",0.019999999999996,NA,NA,1.73546194353118,0.171817523645222,0.0453437343333067,0.0001511191780774,0.000768578759870036,"SMD_tau2=0.04_moderate",50,50,"SMD","results/raw/SMD/data/simdat_00050.rds"
"100","glmmTMB_RE",0.430000000000007,NA,NA,1.73546194353195,0.171817522843762,0.0453490388953094,0.00015138901896561,0.00076856315883082,"SMD_tau2=0.04_moderate",50,50,"SMD","results/raw/SMD/data/simdat_00050.rds"
"101","rma.uni",0.019999999999996,NA,NA,-4.06968755229332,0.15076518818006,0.0617289227897264,0.0145909747552896,0.0357212305511851,"SMD_tau2=0.04_moderate",51,51,"SMD","results/raw/SMD/data/simdat_00051.rds"
"102","glmmTMB_RE",0.540000000000006,NA,NA,-4.06968755229331,0.150765188131997,0.0617302260887922,0.0145930592778806,0.0357212275689468,"SMD_tau2=0.04_moderate",51,51,"SMD","results/raw/SMD/data/simdat_00051.rds"
"103","rma.uni",0,NA,NA,-1.40909491146751,0.386331317506604,0.0537954830549422,6.89595371128392e-13,0.0168364806800668,"SMD_tau2=0.04_moderate",52,52,"SMD","results/raw/SMD/data/simdat_00052.rds"
"104","glmmTMB_RE",0.640000000000001,NA,NA,-1.40909491146748,0.386331317263978,0.0538076154697516,6.97812152923155e-13,0.0168364766851035,"SMD_tau2=0.04_moderate",52,52,"SMD","results/raw/SMD/data/simdat_00052.rds"
"105","rma.uni",0.0100000000000051,NA,NA,-5.98171547763445,0.433210212310256,0.06841418224261,2.41737380482743e-10,0.0521975894983641,"SMD_tau2=0.04_moderate",53,53,"SMD","results/raw/SMD/data/simdat_00053.rds"
"106","glmmTMB_RE",0.539999999999992,NA,NA,-5.98171547763435,0.433210211786873,0.0684254633740017,2.4337891523336e-10,0.0521975766756822,"SMD_tau2=0.04_moderate",53,53,"SMD","results/raw/SMD/data/simdat_00053.rds"
"107","rma.uni",0.019999999999996,NA,NA,-3.45805779658698,0.27409352552616,0.0598180075032237,4.60276897943827e-06,0.0308317860165162,"SMD_tau2=0.04_moderate",54,54,"SMD","results/raw/SMD/data/simdat_00054.rds"
"108","glmmTMB_RE",0.510000000000005,NA,NA,-3.45805779657856,0.27409352191296,0.0598243330805574,4.61344900929422e-06,0.0308316893600091,"SMD_tau2=0.04_moderate",54,54,"SMD","results/raw/SMD/data/simdat_00054.rds"
"109","rma.uni",0.0200000000000102,NA,NA,-1.49829714286372,0.265051588361883,0.0538782038262728,8.67839606361057e-07,0.017415022969912,"SMD_tau2=0.04_moderate",55,55,"SMD","results/raw/SMD/data/simdat_00055.rds"
"110","glmmTMB_RE",0.430000000000007,NA,NA,-1.49829714286369,0.265051588037861,0.0538866090914541,8.7124804311388e-07,0.0174150165042766,"SMD_tau2=0.04_moderate",55,55,"SMD","results/raw/SMD/data/simdat_00055.rds"
"111","rma.uni",0.0200000000000102,NA,NA,-3.35819394072892,0.164362242459598,0.0592113588321613,0.00550564822087596,0.0296367591087795,"SMD_tau2=0.04_moderate",56,56,"SMD","results/raw/SMD/data/simdat_00056.rds"
"112","glmmTMB_RE",0.689999999999998,NA,NA,-3.35819394072595,0.164362240704611,0.0592157263341474,0.00550911652706583,0.0296367029054156,"SMD_tau2=0.04_moderate",56,56,"SMD","results/raw/SMD/data/simdat_00056.rds"
"113","rma.uni",0.0200000000000102,NA,NA,-9.0411957333728,0.340364370004247,0.0798250981899153,2.00910408569021e-05,0.0862221886099844,"SMD_tau2=0.04_moderate",57,57,"SMD","results/raw/SMD/data/simdat_00057.rds"
"114","glmmTMB_RE",1.06,NA,NA,-9.04119573336861,0.340364365903814,0.0798376261613883,2.01513237620082e-05,0.0862220670244265,"SMD_tau2=0.04_moderate",57,57,"SMD","results/raw/SMD/data/simdat_00057.rds"
"115","rma.uni",0.0200000000000102,NA,NA,-8.27841277977168,0.332939848565623,0.0771452460646403,1.59059557644887e-05,0.0778828764531494,"SMD_tau2=0.04_moderate",58,58,"SMD","results/raw/SMD/data/simdat_00058.rds"
"116","glmmTMB_RE",0.560000000000002,NA,NA,-8.27841277976999,0.332939846787027,0.0771512951707268,1.5930343210149e-05,0.0778828051938106,"SMD_tau2=0.04_moderate",58,58,"SMD","results/raw/SMD/data/simdat_00058.rds"
"117","rma.uni",0,NA,NA,-0.347057883878872,0.322986924954735,0.0507239609919401,1.92082130033883e-10,0.0106747818470361,"SMD_tau2=0.04_moderate",59,59,"SMD","results/raw/SMD/data/simdat_00059.rds"
