model,runtime,error,warn,logLik,est,se,pvalue,tau2,scenario,replicate,param_id
rma.uni,0.010000000002037268,NA,NA,-4.3972891150165925,0.12791510155731947,0.06266513319946464,0.04122614519831258,0.03806986822400206,SMD_tau2=0.04_moderate,10,10
glmmTMB_RE,0.4599999999991269,NA,NA,-4.397289115016285,0.12791510111933016,0.06266720903790407,0.041232863780934846,0.038069846142343794,SMD_tau2=0.04_moderate,10,10
rma.uni,0.01999999999679858,NA,NA,-3.7636183707629103,0.014979269693217058,0.06079742981390225,0.8053881003774155,0.03356519095123487,SMD_tau2=0.04_null,1,11
glmmTMB_RE,0.4500000000007276,NA,NA,-3.7636183707565074,0.014979268916590956,0.06079778222519063,0.8053892156817908,0.03356510472370881,SMD_tau2=0.04_null,1,11
rma.uni,0.010000000002037268,NA,NA,-4.482877927689822,-0.0886444629313873,0.0630181304662299,0.15953115318380473,0.038997077926499056,SMD_tau2=0.04_null,2,12
glmmTMB_RE,0.43999999999869033,NA,NA,-4.482877927689767,-0.08864446274940763,0.0630203926940492,0.15954613484882083,0.03899706906999238,SMD_tau2=0.04_null,2,12
rma.uni,0.00999999999839929,NA,NA,-3.4334924924309504,0.016827839356271662,0.05971436584520599,0.778092619598407,0.030966756986853194,SMD_tau2=0.04_null,3,13
glmmTMB_RE,0.4900000000016007,NA,NA,-3.43349249243094,0.016827839358307544,0.05971436993339651,0.77809263436666,0.03096675502857657,SMD_tau2=0.04_null,3,13
rma.uni,0,NA,NA,-3.3165801694320987,0.021997054858137972,0.05930588123059983,0.7107056913682696,0.029997635001616976,SMD_tau2=0.04_null,4,14
glmmTMB_RE,0.43999999999869033,NA,NA,-3.316580169432072,0.02199705478975223,0.059307039779953594,0.7107110890987988,0.02999763076136677,SMD_tau2=0.04_null,4,14
rma.uni,0,NA,NA,-7.345043049696024,-0.024513148894204317,0.07346572759861975,0.7386302379852621,0.06741603788540149,SMD_tau2=0.04_null,5,15
glmmTMB_RE,0.4900000000016007,NA,NA,-7.345043049695214,-0.024513148822722517,0.07346573389947093,0.7386302603165364,0.06741599318953867,SMD_tau2=0.04_null,5,15
rma.uni,0.020000000000436557,NA,NA,2.667613392694948,-0.0651598214380292,0.044835438781757844,0.146137516962112,0,SMD_tau2=0.04_null,6,16
glmmTMB_RE,0.5,NA,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",2.6676134124256734,-0.06515982144188016,0.044835440106296566,0.1461375288535067,3.293585331281318e-10,SMD_tau2=0.04_null,6,16
rma.uni,0.029999999998835847,NA,NA,-5.924444450314263,-0.08918677764796329,0.06808262077420774,0.19020306820758973,0.05221207595245522,SMD_tau2=0.04_null,7,17
glmmTMB_RE,0.3900000000030559,NA,NA,-5.924444450314258,-0.08918677761602752,0.06808381595127784,0.1902108481040253,0.05221207355709336,SMD_tau2=0.04_null,7,17
rma.uni,0.020000000000436557,NA,NA,-1.9948054491453782,-0.13823233587104183,0.055400212029636936,0.012590071232998714,0.02098716435318787,SMD_tau2=0.04_null,8,18
glmmTMB_RE,0.4500000000007276,NA,NA,-1.9948054491408378,-0.13823233456179876,0.05540189023146915,0.012592754200180375,0.02098710407266601,SMD_tau2=0.04_null,8,18
rma.uni,0,NA,NA,-6.293062404521692,-0.04330020128234642,0.06940128506888926,0.5326862618779378,0.05585110425372659,SMD_tau2=0.04_null,9,19
glmmTMB_RE,0.3899999999994179,NA,NA,-6.293062404521688,-0.043300201247860604,0.06940213180451106,0.5326912615227433,0.055851101090488006,SMD_tau2=0.04_null,9,19
rma.uni,0,NA,NA,-9.698907658025515,-8.665195156234776e-4,0.08304110005837124,0.9916743637074448,0.09724367719369095,SMD_tau2=0.04_null,10,20
glmmTMB_RE,0.3899999999994179,NA,NA,-9.698907658025515,-8.665195177519351e-4,0.0830410991418147,0.9916743635951051,0.09724367029167222,SMD_tau2=0.04_null,10,20
rma.uni,0.010000000002037268,NA,NA,-6.364674939823886,0.308634082104036,0.06966727297009313,9.418252959284e-6,0.056110954760506496,SMD_tau2=0.09_moderate,1,21
glmmTMB_RE,0.4599999999991269,NA,NA,-6.364674939823875,0.3086340820040878,0.06967583308659799,9.442052133751304e-6,0.05611095185944258,SMD_tau2=0.09_moderate,1,21
rma.uni,0.010000000002037268,NA,NA,-8.431556024614562,0.20917296863723556,0.07743146196086999,0.006904926698844892,0.07910067007734327,SMD_tau2=0.09_moderate,2,22
glmmTMB_RE,0.43999999999869033,NA,NA,-8.43155602461374,0.2091729680885438,0.0774326451508952,0.0069057839689624445,0.07910061990663352,SMD_tau2=0.09_moderate,2,22
rma.uni,0.00999999999839929,NA,NA,-10.787952351341824,0.4192656338200201,0.08796336713914157,1.8757805022145218e-6,0.11309973927835743,SMD_tau2=0.09_moderate,3,23
glmmTMB_RE,0.4500000000007276,NA,NA,-10.787952351341826,0.4192656337421163,0.08797409819502651,1.881198174302629e-6,0.11309973641530835,SMD_tau2=0.09_moderate,3,23
rma.uni,0,NA,NA,-8.058360466371678,0.32277942274170734,0.07607826586277244,2.2081857216827246e-5,0.07466043584658662,SMD_tau2=0.09_moderate,4,24
glmmTMB_RE,0.47000000000116415,NA,NA,-8.058360466371632,0.32277942236299106,0.07608842574578598,2.213768741894638e-5,0.07466042430857761,SMD_tau2=0.09_moderate,4,24
rma.uni,0,NA,NA,-0.39024050627829787,0.2776720023672837,0.05092675596053195,4.970023749217336e-8,0.011224776070387094,SMD_tau2=0.09_moderate,5,25
glmmTMB_RE,0.43999999999869033,NA,NA,-0.39024050627615736,0.27767200114407226,0.05093019443107543,4.980325975056268e-8,0.011224741223510722,SMD_tau2=0.09_moderate,5,25
rma.uni,0.020000000000436557,NA,NA,-7.985419885874171,0.22041092105119237,0.07581314479356814,0.0036457314354514827,0.07414305332156039,SMD_tau2=0.09_moderate,6,26
glmmTMB_RE,0.3999999999978172,NA,NA,-7.985419885874144,0.22041092086089198,0.075817684815037,0.0036477611216926666,0.07414304470043294,SMD_tau2=0.09_moderate,6,26
rma.uni,0.020000000000436557,NA,NA,-7.7078544118875145,0.32387900782217555,0.07459812965534518,1.4141635204660925e-5,0.07021689860479864,SMD_tau2=0.09_moderate,7,27
glmmTMB_RE,0.43000000000029104,NA,NA,-7.707854411887244,0.3238790067949095,0.074608796497144,1.4181650459610936e-5,0.07021686888647417,SMD_tau2=0.09_moderate,7,27
rma.uni,0,NA,NA,-11.663176180116501,0.2825157986988369,0.09208048551769026,0.002153958545272107,0.1283417601652992,SMD_tau2=0.09_moderate,8,28
