"","model","runtime","error","warn","logLik","est","se","pvalue","tau2","scenario","replicate","param_id","measure","dat_file"
"52","glmmTMB_RE",0.25,NA,NA,2.02522968002798,0.217524414514838,0.0449536136998108,1.30583484645454e-06,0.0400835105999534,"lnRR_tau2=0.04_moderate",26,26,"lnRR","results/raw/lnRR/data/simdat_00026.rds"
"53","rma.uni",0,NA,NA,2.92456957895494,0.304083674819756,0.0428355706117774,1.25791087199177e-12,0.0363833746573151,"lnRR_tau2=0.04_moderate",27,27,"lnRR","results/raw/lnRR/data/simdat_00027.rds"
"54","glmmTMB_RE",0.240000000000002,NA,NA,2.92456957895494,0.304083674827959,0.0428356373240407,1.25801148733609e-12,0.0363833733705419,"lnRR_tau2=0.04_moderate",27,27,"lnRR","results/raw/lnRR/data/simdat_00027.rds"
"55","rma.uni",0.0200000000000031,NA,NA,8.49335255366941,0.280412022178668,0.0319893085044642,1.85447700013507e-18,0.0201687734884348,"lnRR_tau2=0.04_moderate",28,28,"lnRR","results/raw/lnRR/data/simdat_00028.rds"
"56","glmmTMB_RE",0.229999999999997,NA,NA,8.4933525536694,0.280412022178264,0.0319893396537017,1.85461752169273e-18,0.0201687735484596,"lnRR_tau2=0.04_moderate",28,28,"lnRR","results/raw/lnRR/data/simdat_00028.rds"
"57","rma.uni",0.0200000000000031,NA,NA,-2.76382697989159,0.273661608654551,0.0578473608581583,2.23687931659411e-06,0.0665877336108766,"lnRR_tau2=0.04_moderate",29,29,"lnRR","results/raw/lnRR/data/simdat_00029.rds"
"58","glmmTMB_RE",0.229999999999997,NA,NA,-2.76382697989158,0.273661608654252,0.0578473984408409,2.23691318670364e-06,0.0665877337090647,"lnRR_tau2=0.04_moderate",29,29,"lnRR","results/raw/lnRR/data/simdat_00029.rds"
"59","rma.uni",0,NA,NA,4.121150363636,0.333196451418295,0.0402249432900657,1.19778615784412e-16,0.0320604619333401,"lnRR_tau2=0.04_moderate",30,30,"lnRR","results/raw/lnRR/data/simdat_00030.rds"
"60","glmmTMB_RE",0.240000000000002,NA,NA,4.12115036363603,0.333196451421891,0.040225006758922,1.19791767676355e-16,0.0320604614055785,"lnRR_tau2=0.04_moderate",30,30,"lnRR","results/raw/lnRR/data/simdat_00030.rds"
"61","rma.uni",0.0200000000000031,NA,NA,4.69231128676206,0.278213814885851,0.0390590346748151,1.05675240134976e-12,0.0302021243018345,"lnRR_tau2=0.04_moderate",31,31,"lnRR","results/raw/lnRR/data/simdat_00031.rds"
"62","glmmTMB_RE",0.229999999999997,NA,NA,4.6923112867621,0.278213814902835,0.0390591519582276,1.05691646028234e-12,0.0302021225533044,"lnRR_tau2=0.04_moderate",31,31,"lnRR","results/raw/lnRR/data/simdat_00031.rds"
"63","rma.uni",0.0200000000000031,NA,NA,7.0367437269011,0.222369874267032,0.0345358134181183,1.20406160199298e-10,0.0235235124454571,"lnRR_tau2=0.04_moderate",32,32,"lnRR","results/raw/lnRR/data/simdat_00032.rds"
"64","glmmTMB_RE",0.25,NA,NA,7.03674372690113,0.222369874266792,0.0345359245372489,1.20422593179072e-10,0.0235235124666776,"lnRR_tau2=0.04_moderate",32,32,"lnRR","results/raw/lnRR/data/simdat_00032.rds"
"65","rma.uni",0.00999999999999801,NA,NA,2.07255994573046,0.310775531684,0.0448402769007624,4.1869562711499e-12,0.0399195094181076,"lnRR_tau2=0.04_moderate",33,33,"lnRR","results/raw/lnRR/data/simdat_00033.rds"
"66","glmmTMB_RE",0.270000000000003,NA,NA,2.07255994573048,0.310775531683992,0.044840378700742,4.18742204008756e-12,0.0399195094191484,"lnRR_tau2=0.04_moderate",33,33,"lnRR","results/raw/lnRR/data/simdat_00033.rds"
"67","rma.uni",0,NA,NA,-1.51105986614058,0.296734174045802,0.0541271586085064,4.20145083184183e-08,0.0582848528618674,"lnRR_tau2=0.04_moderate",34,34,"lnRR","results/raw/lnRR/data/simdat_00034.rds"
"68","glmmTMB_RE",0.220000000000006,NA,NA,-1.51105986614057,0.296734174045853,0.0541272466891438,4.20166275986474e-08,0.0582848528519884,"lnRR_tau2=0.04_moderate",34,34,"lnRR","results/raw/lnRR/data/simdat_00034.rds"
"69","rma.uni",0.019999999999996,NA,NA,2.14959355222117,0.18057999044532,0.0446380763723107,5.22282833999868e-05,0.0395176406316184,"lnRR_tau2=0.04_moderate",35,35,"lnRR","results/raw/lnRR/data/simdat_00035.rds"
"70","glmmTMB_RE",0.25,NA,NA,2.1495935522212,0.180579990446611,0.0446382114068859,5.22310119812601e-05,0.039517640479553,"lnRR_tau2=0.04_moderate",35,35,"lnRR","results/raw/lnRR/data/simdat_00035.rds"
"71","rma.uni",0.0200000000000031,NA,NA,5.10110370606367,0.243922887314402,0.0382369617974169,1.77964963950993e-10,0.0289157989581951,"lnRR_tau2=0.04_moderate",36,36,"lnRR","results/raw/lnRR/data/simdat_00036.rds"
"72","glmmTMB_RE",0.229999999999997,NA,NA,5.10110370606366,0.243922887314357,0.0382369941322134,1.7797123227183e-10,0.0289157989668348,"lnRR_tau2=0.04_moderate",36,36,"lnRR","results/raw/lnRR/data/simdat_00036.rds"
"73","rma.uni",0.00999999999999801,NA,NA,1.11824440037154,0.219135601941026,0.0471436561075842,3.34759506413613e-06,0.0441124320488371,"lnRR_tau2=0.04_moderate",37,37,"lnRR","results/raw/lnRR/data/simdat_00037.rds"
"74","glmmTMB_RE",0.240000000000002,NA,NA,1.11824440037154,0.219135601939086,0.0471437025299913,3.34766933270175e-06,0.0441124324726602,"lnRR_tau2=0.04_moderate",37,37,"lnRR","results/raw/lnRR/data/simdat_00037.rds"
"75","rma.uni",0,NA,NA,1.52121823442423,0.239943569385659,0.0461560599683569,2.00872887516355e-07,0.0422806888851021,"lnRR_tau2=0.04_moderate",38,38,"lnRR","results/raw/lnRR/data/simdat_00038.rds"
"76","glmmTMB_RE",0.220000000000006,NA,NA,1.52121823442422,0.239943569387351,0.0461561148466264,2.00879565701358e-07,0.0422806885569834,"lnRR_tau2=0.04_moderate",38,38,"lnRR","results/raw/lnRR/data/simdat_00038.rds"
"77","rma.uni",0,NA,NA,-1.03109588633339,0.247577730799245,0.0528004006663723,2.74628460825799e-06,0.0554143532172753,"lnRR_tau2=0.04_moderate",39,39,"lnRR","results/raw/lnRR/data/simdat_00039.rds"
"78","glmmTMB_RE",0.25,NA,NA,-1.03109588633336,0.24757773079867,0.052800469221032,2.74636630296377e-06,0.0554143533394853,"lnRR_tau2=0.04_moderate",39,39,"lnRR","results/raw/lnRR/data/simdat_00039.rds"
"79","rma.uni",0,NA,NA,0.575451966615114,0.209983318855684,0.0485213272869246,1.50708749726429e-05,0.046738488305823,"lnRR_tau2=0.04_moderate",40,40,"lnRR","results/raw/lnRR/data/simdat_00040.rds"
"80","glmmTMB_RE",0.240000000000002,NA,NA,0.575451966615084,0.209983318855626,0.0485213567383939,1.50710546589827e-05,0.0467384883223329,"lnRR_tau2=0.04_moderate",40,40,"lnRR","results/raw/lnRR/data/simdat_00040.rds"
"81","rma.uni",0,NA,NA,-0.592164123141396,0.263801577411512,0.0515744348042185,3.13794349822243e-07,0.0528750589090541,"lnRR_tau2=0.04_moderate",41,41,"lnRR","results/raw/lnRR/data/simdat_00041.rds"
"82","glmmTMB_RE",0.240000000000002,NA,NA,-0.592164123141401,0.263801577399765,0.0515744853231821,3.13802679477741e-07,0.0528750617584399,"lnRR_tau2=0.04_moderate",41,41,"lnRR","results/raw/lnRR/data/simdat_00041.rds"
"83","rma.uni",0.019999999999996,NA,NA,4.70736323668588,0.265194377186279,0.0390472293854392,1.10872769408053e-11,0.0301653710219925,"lnRR_tau2=0.04_moderate",42,42,"lnRR","results/raw/lnRR/data/simdat_00042.rds"
"84","glmmTMB_RE",0.280000000000001,NA,NA,4.70736323668589,0.265194377183214,0.0390472394462425,1.10874114617725e-11,0.0301653721437575,"lnRR_tau2=0.04_moderate",42,42,"lnRR","results/raw/lnRR/data/simdat_00042.rds"
"85","rma.uni",0,NA,NA,2.51932392349096,0.237651259624158,0.0437748597877831,5.66884864435624e-08,0.0379885482885231,"lnRR_tau2=0.04_moderate",43,43,"lnRR","results/raw/lnRR/data/simdat_00043.rds"
"86","glmmTMB_RE",0.279999999999994,NA,NA,2.51932392349097,0.237651259625566,0.0437749229855662,5.66909756724424e-08,0.0379885480531978,"lnRR_tau2=0.04_moderate",43,43,"lnRR","results/raw/lnRR/data/simdat_00043.rds"
"87","rma.uni",0.0200000000000031,NA,NA,2.41305264249991,0.291470580317385,0.0440106604560944,3.5263241757083e-11,0.0384151066709105,"lnRR_tau2=0.04_moderate",44,44,"lnRR","results/raw/lnRR/data/simdat_00044.rds"
"88","glmmTMB_RE",0.280000000000001,NA,NA,2.41305264249997,0.29147058032406,0.0440107941428193,3.5268042880348e-11,0.0384151058977144,"lnRR_tau2=0.04_moderate",44,44,"lnRR","results/raw/lnRR/data/simdat_00044.rds"
"89","rma.uni",0.00999999999999801,NA,NA,5.23795607437605,0.164021565592813,0.0379356816222892,1.5345117281202e-05,0.0284357239069386,"lnRR_tau2=0.04_moderate",45,45,"lnRR","results/raw/lnRR/data/simdat_00045.rds"
"90","glmmTMB_RE",0.25,NA,NA,5.23795607437608,0.16402156559553,0.0379357827586703,1.53459194629581e-05,0.0284357236172158,"lnRR_tau2=0.04_moderate",45,45,"lnRR","results/raw/lnRR/data/simdat_00045.rds"
